"name","producer"
"Baselbieter Blütenhonig cremig 250g","Jehle Honig"
"Baselbieter Blütenhonig cremig 500g","Jehle Honig"
"Baselbieter Kirsch 3.5 dl","Wirz Obstbau"
"Baselbieter Moscht","Wirz Obstbau"
"Basilisk Dry Gin","GL Spirits"
"Basilisk Old Tom Gin","GL Spirits"
"Basler Quittenschnaps",""
"Basler Tee","London Tea"
"Bierdeckel «Basler Fasnacht»","Hampe Wüthrich"
"Bieressig Unser Bier","Unser Bier"
"Bio-Olivenöl Aegaio",""
"Bio-Olivenöl Aegaio 250ml",""
"Bitter Lemon Premium",""
"Chilisalz Tanja Grandits","Tanja Grandits"
"Chutney-Mix 3er-Pack",""
"Eierkirsch","Wirz Obstbau"
"Fähritee","Moccaraba"
"Fasnachts-Tee","London Tea"
"FCB Gin Basilisk","GL Spirits"
"Feines Meersalz","Würzstoff"
"Fleischgewürz","Würzstoff"
"Fondue Tee","London Tea"
"Fondue-Box","Wacker &amp; Schwob"
"Fruchtgelée","Sweet Basel"
"Fusilli Natur","Pasta Sociali"
"Fusilli Randen","Pasta Sociali"
"Fusilli Spinat","Pasta Sociali"
"Gelée Osterhäsli gelb",""
"Gelée Osterhäsli rot",""
"Geschenkbox «Basler Tee-Zyyt»",""
"Geschenkbox «E Bieridee»","Helvetiq"
"Ginger Beer Premium",""
"Gnochetti Tomate-Chili","Pasta Sociali"
"Grünteesalz Tanja Grandits","Tanja Grandits"
"Gryff Cherry Gin","Gryff Spirits"
"GRYFF Cherry Gin & Socks",""
"Gryff Cherry Gin Mini","Gryff Spirits"
"GRYFF Dry Gin & Socks",""
"Gryff Dry Gin Mini","Gryff Spirits"
"Gryff Gin","Gryff Spirits"
"Huus-Fondue","Wacker &amp; Schwob"
"Ingwer Jasmin-Tee","Tanja Grandits"
"Jakob’s Leckerly Glücksböxli Ostern",""
"Jakob’s Leckerly 250g","Jakob's Basler Leckerly"
"Jakob’s Leckerly 500g","Jakob's Basler Leckerly"
"Jakob’s Leckerly Classic Vintage","Jakob's Basler Leckerly"
"Jakob’s Leckerly gemischt","Jakob's Basler Leckerly"
"Jakob’s Leckerly Kleeblatt-Box","Jakob's Basler Leckerly"
"Jakob’s Leckerly Mini-Sack","Jakob's Basler Leckerly"
"Jakob’s Schoggi Leckerly","Jakob's Basler Leckerly"
"Jordis Chilimix braun",""
"Jordis Chilimix gelb",""
"Jordis Chilimix rot",""
"Jordis Chilisalz Bärlauch","Jordis Garten"
"Jordis Chilisalz Oregeno-Kreuzkümmel","Jordis Garten"
"Jordis Chilisalz Pfeffer-Zitronengras",""
"Jordis Chilisalz Rotwein- Rosmarin","Jordis Garten"
"Kaffeemischung Moccaraba","Moccaraba"
"Karamell Chai-Tee","Tanja Grandits"
"Kissen gefüllt","Sweet Basel"
"Konfitüre Aargauer Aprikosen","Kunz Konfimanufaktur"
"Konfitüre Apfel im Zimt","Kunz Konfimanufaktur"
"Konfitüre Erdbeer-Basilikum","Kunz Konfimanufaktur"
"Konfitüre Feigen-Vanille","Kunz Konfimanufaktur"
"Konfitüre Fricktaler Kirschen","Kunz Konfimanufaktur"
"Konfitüre Himbeer-Passionsfrucht","Kunz Konfimanufaktur"
"Konfitüre Real Bitter Orange","Kunz Konfimanufaktur"
"Kräuterrisotto mit grünem Pfeffer","Tanja Grandits"
"Läckerli-Tee","London Tea"
"Leckerly Glücksböxli X-Mas «Äste»","Jakob's Basler Leckerly"
"Leckerly Glücksböxli X-Mas «Sterne»","Jakob's Basler Leckerly"
"Leckerly Oster-Box","Jakob's Basler Leckerly"
"Leckerly Räppli-Box","Jakob's Basler Leckerly"
"Linsensuppe mit Kreuzkümmel","Tanja Grandits"
"Lollipop «I love Basel»",""
"Mässmögge 16er","Sweet Basel"
"Mässmögge 8er","Sweet Basel"
"Modernist Alpine Dry Gin","Modernist Spirits"
"Mühli-Müesli",""
"Noos – Nusslikör","Branchi Manifattura"
"Nougat de Bâle","Sweet Basel"
"Osterhuhn Schokolade hell",""
"Quittengelee",""
"Randen-Kokos Suppe","Tanja Grandits"
"Räppli-Tee","London Tea"
"Rheinbrand Gin",""
"Rheinbrand Gin Hemp Edition",""
"Rheinbrand Rum",""
"Rocks Basel Stadt / Schweiz","Sweet Basel"
"Rocks Basel Stadt / Smiley","Sweet Basel"
"Rocks Bonbons Weihnachten","Sweet Basel"
"Rose Waldbeere-Tee","Tanja Grandits"
"Rosensalz Tanja Grandits","Tanja Grandits"
"Rosmarinsalz Tanja Grandits","Tanja Grandits"
"Rüebli-Quinoa Suppe","Tanja Grandits"
"Salatdressing Würze","Würzstoff"
"Salatsauce Hirschen",""
"Scharfe Würze","Würzstoff"
"Schoggi-Fondue Set",""
"Schoggi-Mandeln","Sweet Basel"
"Schoggi-Salametti","Zuggerbegg Bubeck"
"Schokolade «Basler Münster»","s.wert"
"Schokolade «Spalentor»","s.wert"
"Steinpilz-Gersten Suppe","Tanja Grandits"
"Steinpilzrisotto mit Thymian","Tanja Grandits"
"Sunneredli mit Salz und Kümmel",""
"Tee Adventstee","London Tea"
"Tee Weihnachtstee","London Tea"
"Teelicht «Blätzlibajass»",""
"Teelicht «Harlekin»",""
"Teelicht «Pierrot»",""
"Tomaten-Bulghur Suppe",""
"Tomatenwürze","Würzstoff"
"Tonic Water Classic",""
"Ueli Bier Basilisk",""
"Ueli Bier Primavera",""
"Ueli Bier Sorglos 0.0%",""
"Ueli Bier Winterbogg",""
"Unser Bier „Kürbisbier“","Unser Bier"
"Unser Bier Aypiey","Unser Bier"
"Unser Bier Fasnachtsbier",""
"Unser Bier Schwarz","Unser Bier"
"Unser Bier Sommer","Unser Bier"
"Unser Bier Winter","Unser Bier"
"Vieille Poire 3.5 dl","Wirz Obstbau"
"VOLRO Crackers Kümmel","Jakob's Basler Leckerly"
"VOLRO Crackers Rosmarin","Jakob's Basler Leckerly"
"Whiskyschokolade","Unser Bier"
"Wilde Gryff Apple Gin","Gryff Spirits"
"Wilde Maa Cider",""
"Winterzauber Tee","London Tea"
"Zitrus Sencha Tee","Tanja Grandits"
